ticker,id_share,industry,Index,P/E,EPS (ttm),Insider Own,Perf Week,Forward P/E,EPS next Y,Insider Trans,Perf Month,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,Market Cap_full_count,Income_full_count,Sales_full_count,Shs Outstand_full_count,Shs Float_full_count,Avg Volume_full_count,52_w_range_low,52_w_range_high,Volatility_low_%,Volatility_high_%
AAP,1,Consumer Cyclical,S&P 500,22.54,9.88,0.1,-4.2,16.78,11.37,-5.2,-4.0,1.26,1.94,,4.28,-5.13,1.3,4.4,-0.0,3.91,6.42,50.86,4.38,5.5,255.5,44.2,9.47,23.53,17.9,19.1,-7.15,4.0,21.61,2.2,11.8,-8.92,1.27,1.8,0.3,0.7,45.1,47.49,6.46,40000.0,1.2,3.1,8.0,40.91,Yes,0.0,25.9,5.9,2.84,232.18,Yes,0.32,Feb 14 AMC,25.1,222.73,2.2,-3.96,-4.48,3.16,1905138.0,-4.07,14230000000000.0,646400000.0,10970000000000.0,62850000.0,62080000.0,679290.0,151.01,244.55,2.73,2.73
AAQC,2,Financial,-,,,,-0.1,,,,-0.21,,,,,-1.42,,,,0.17,0.41,,,,,,,,,,-0.21,,,,,-2.61,,,,,,1.05,0.02,,,,,47.38,No,,,,0.0,9.72,Yes,,-,,9.7,,-0.09,-0.17,-0.09,118.0,-0.21,388000000.0,,,40000000.0,,55940.0,9.6,9.96,0.16,0.18
AAOI,3,Technology,-,,-2.05,6.4,2.08,,15.4,0.0,-10.88,,-0.22,50.7,13.98,-31.65,0.5,19.1,1.86,7.01,-43.86,9.74,0.4,-11.2,16.58,-68.2,1.63,2.4,13.0,-19.3,-23.54,,,-43.5,-13.2,-69.7,1.64,,1.1,4.3,19.5,8.26,0.22,2682.0,2.1,-30.4,-26.9,39.4,Yes,0.55,-37.9,-25.3,0.5,4.05,Yes,0.37,Feb 24 AMC,,3.93,2.7,-1.74,-18.82,-42.16,260131.0,-2.96,104580000.0,-53100000.0,209500000.0,27100000.0,25390000.0,506560.0,3.63,12.97,5.01,5.43
AAPL,4,Technology,DJIA S&P500,28.58,6.02,0.07,-0.45,26.29,6.42,-19.9,-1.69,1.92,1.43,59.3,0.56,16.36,7.45,71.4,0.31,0.9,15.6,4.39,39.21,28.7,190.98,27.37,3.9,44.08,14.85,149.8,-3.07,0.88,32.28,22.0,50.0,-5.91,1.18,0.51,1.0,11.1,43.0,48.11,4.35,154000.0,1.0,11.2,30.9,51.8,Yes,1.71,24.8,26.6,0.87,176.28,Yes,1.48,Jan 27 AMC,14.2,172.12,1.8,1.62,0.08,14.95,90865896.0,-2.36,2817210000000000.0,100560000000000.0,378320000000000.0,16390000000000.0,16309999999999.998,101620000.0,116.21,182.94,1.87,2.63
AAON,5,Industrials,-,43.79,1.33,16.6,-4.43,34.57,34.88,-0.52,-21.38,3.65,0.28,71.9,2.36,-23.87,6.06,45.9,0.89,4.01,-15.66,7.64,7.65,14.6,71.0,-26.39,1.9,30.67,12.0,19.0,-26.45,0.38,88.96,12.1,22.1,-30.28,0.66,0.65,2.2,7.5,28.2,-0.39,2.38,2268.0,3.6,2.8,17.4,22.85,Yes,0.02,-24.4,13.9,2.03,59.82,Yes,0.02,Nov 04 AMC,27.8,58.42,3.0,-9.81,-19.95,-14.75,557572.0,-2.34,3120000000000.0,71500000.0,514900000.0,52420000.0,41560000.0,244130.0,58.65,83.79,3.3,3.88
AAN,6,Industrials,-,7.46,2.81,1.2,-1.6,7.49,-20.11,-13.61,-9.14,,0.39,96.7,2.91,-19.75,0.37,15.9,0.07,3.75,-28.82,22.21,0.94,7.1,33.5,5.17,0.46,45.77,-12.1,13.3,-14.93,0.4,59.94,-37.7,-36.3,-44.07,,1.91,,-4.0,63.2,8.6,1.05,9400.0,,-65.3,7.0,41.87,Yes,0.0,109.2,5.3,0.73,22.06,Yes,0.0,Feb 23 AMC,10.5,20.97,2.7,-3.44,-9.09,-24.58,175276.0,-4.94,677330000.0,96500000.0,1830000000000.0,32479999.999999996,30780000.0,238710.0,19.31,37.49,4.79,5.1
AAL,7,Industrials,S&P 500,,-3.12,0.5,12.91,8.95,200.5,0.0,-1.63,,-2.48,56.9,15.56,-13.26,0.41,-583.8,0.9,2.52,-8.42,-11.47,,-8.6,18.32,10.12,22.29,0.84,16.09,77.7,4.18,,,-29.6,-25.6,-28.29,1.63,,0.9,-15.8,57.1,25.53,0.83,102700.0,1.0,182.7,-20.9,60.96,Yes,,105.4,-19.4,0.92,18.76,Yes,,Jan 20 BMO,,18.71,3.1,9.19,6.28,-6.95,36411848.0,-0.27,12200000000000.0,-1993000000.0,29880000000000.0,648560000.0,640950000.0,39640000.0,14.9,26.09,4.41,4.95
AAME,8,Financial,-,4.17,0.63,2.8,4.78,,,0.0,-7.72,,,5.7,0.93,-37.08,0.25,,,2.13,-35.7,6.86,0.38,3.3,,-50.0,0.72,3.68,,9.3,7.35,0.02,263.0,24.3,7.7,-61.77,0.09,0.76,,3.3,,24.06,0.2,152.0,,6.5,8.8,47.57,No,0.24,-161.1,6.2,0.34,2.56,Yes,0.24,-,3.2,2.63,,3.73,-12.01,-31.76,6056.0,2.73,52600000.0,13100000.0,209800000.0,20400000.0,4019999.9999999995,17500.0,2.12,6.88,4.53,8.74
AACIW,9,Financial,-,,,,64.13,,,,-25.45,,,,,,,,,,,0.01,82.0,,,,,,,,-26.72,,,,,-38.78,,,,,,94.96,0.05,,,,,50.11,No,,,,0.21,0.35,No,,-,,0.41,,2.03,-12.57,-13.28,11302.0,17.14,,,,,,52870.0,0.21,0.67,31.45,13.21
AADR,10,Financial,-,,,,2.28,,,,-0.41,,,,,-3.21,,,,,-6.14,,,,,6.09,,,,,-0.67,0.19,,,,-7.98,,0.3,,,,10.49,0.99,,,,,55.41,No,,,,2.37,64.6,Yes,,-,,63.82,,2.08,1.66,-1.9,8697.0,-1.2,,,,,,3780.0,57.76,69.36,1.02,1.39
