index,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,maxAge,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn
MMM,,3.049,,0.16747,11.251,-0.04587418,,11.07,,571846016,-,,,26.435,9028967,0.015800001,,1640908800,0.68311995,5920999936,10.12,1.48,0.18703341,6.3011165,0.0011999999,1703980800,,1640908800,4.27,2021-12-15,571347972,0.953877,107798790144,2,,2003-09-30,2:1,,2021-11-18,,-0.036,,1642118400,2.16,,15.046975,1,,0.015800001,9415227,,,
AOS,,3.304,,0.13764,17.009,0.32069206,,3.81,,133187000,-,,,11.439,3336804,0.021,,1640908800,0.96501,487100000,3.019,0.28,0.18703341,6.5678816,0.0091699995,1703980800,,1640908800,3.48,2021-12-15,131644545,1.136847,11691722752,2,,2016-10-06,2:1,,2022-01-28,,0.163,,1642118400,2.65,,19.71916,1,,0.028499998,3352281,159162000,,
ABT,,5.429,,0.16416,18.245,0.05806017,,5.2,,1768290048,-,,,19.466,9009897,0.0050999997,,1640908800,0.75499,7071000064,3.94,0.47,0.18703341,6.6819077,0.00728,1703980800,,1640908800,1.47,2021-12-15,1754706525,0.703497,233847095296,2,,2013-01-02,10000:4798,,2022-01-13,,-0.08,,1642118400,1.98,,25.013464,1,,0.0052,9684857,,,
ABBV,,5.632,,0.13656001,10.768,0.28097236,,13.99,,1767879936,-,,,7.665,14327652,0.0081,,1609372800,0.68151003,7464999936,4.196,1.41,0.18703341,17.958252,0.00115,1672444800,,1632960000,1.99,2021-12-15,1751280067,0.824125,310714630144,2,,-,,,2022-01-13,,0.377,,1642118400,2.28,,9.83917,1,,0.0081,15436235,,,
ABMD,,13.166,,0.15319,44.482,-0.076265216,,4.91,,45497500,-,,,30.432,1022953,0.0225,,1617148800,0.92522,149152000,3.257,,0.18703341,10.026288,0.02059,1680220800,,1632960000,3.06,2021-12-15,44591180,1.294475,12818637824,2,,2000-10-02,2:1,,-,,-0.085,,1642118400,7,,62.142567,1,,0.0257,1171896,,,
ACN,,4.129,,0.11533,24.571,0.42295766,,10.52,,632001024,-,,,32.2,3195722,0.0050999997,,1630368000,0.73824996,6197557248,9.613,0.97,0.18703341,11.084473,0.00123,1693440000,,1638230400,1.18,2021-12-15,631229695,1.162696,221881466880,2,,-,,,2022-01-12,,0.194,,1642118400,3.26,,33.927757,1,,0.0050999997,3561790,658841024,,
ATVI,,6.097,,0.29209,16.198,-0.14778483,,3.74,,779057024,-,,,21.765,15012820,0.019299999,,1609372800,0.88009,2644000000,3.371,0.47,0.18703341,3.6411672,0.00727,1672444800,,1632960000,1.25,2021-12-15,773124808,0.697415,55185932288,2,,2008-09-08,2:1,,2021-04-14,,0.058,,1642118400,1.69,,21.18984,1,,0.0194,8855330,,,
ADM,,0.597,,0.03178,12.871,0.46831262,,5.2,,559552000,-,,,40.17,4669208,0.0083,,1640908800,0.8094,2708999936,4.786,0.37,0.18703341,1.8831217,0.00455,1703980800,,1640908800,2.2,2021-12-15,557279811,0.89559,50852368384,2,,2001-08-30,105:100,,2021-11-16,,0.138,,1642118400,2.2,,14.547115,1,,0.0084,4392493,,,
ADBE,,15.895,,0.30548,39.339,0.1121763,,16.27,,471700000,-,,,31.152,5424922,0.0115,,1638489600,0.86082,4822000128,10.02,0.0065,0.18703341,17.095531,0.00319,1701561600,,1638489600,1.34,2021-12-15,470199994,1.003041,250904313856,2,,2005-05-24,2:1,,2005-03-24,,-0.452,,1642118400,2.53,,32.732635,1,,0.0115,4795281,,,
ADP,,5.624,,0.1748,21.563,0.23215246,,7.58,,420400000,-,,,12.011,4554240,0.0108,,1625011200,0.80707,2743800064,6.46,1.04,0.18703341,17.109318,0.00102,1688083200,,1640908800,3.18,2021-12-15,419693728,0.763811,88278466560,2,,2014-10-01,1139:1000,,2021-12-09,,0.072,,1642118400,2.2,,27.110819,1,,0.0108,4790207,,,
AAP,,1.582,,0.05895,14.469,0.51210713,,13.25,,62355200,-,,,51.663,2596406,0.0416,,1609545600,1.02037,646435968,9.819,1,0.18703341,4.55113,0.00441,1672617600,,1633737600,4.09,2021-12-15,61563589,1.272174,17350680576,2,,2005-09-26,3:2,,2021-12-16,,0.151,,1642118400,1.1,,17.745283,1,,0.047199998,3371617,,,
AES,,3.349,,0.049489997,9.74,-0.14274663,,1.64,,666713984,-,,,3.658,8651422,0.012999999,,1609372800,0.96333003,537000000,0.769,0.158,0.18703341,6.025697,0.00296,1672444800,,1632960000,2.05,2021-12-15,664607013,0.834769,36602712064,2,,2000-06-02,2:1,,2022-01-31,,,,1642118400,1.96,,13.440244,1,,0.0174,8457351,,,
AFL,,1.968,,0.18766001,7.951,0.3704511,,5.27,,661528000,-,,,50.62,13973636,0.0211,,1609372800,0.6149,4238000128,6.167,0.33,0.18703341,1.2518767,0.09212,1672444800,,1632960000,4.43,2021-12-15,656917367,1.000506,44447203328,2,,2018-03-19,2:1,,2021-11-16,,-0.638,,1642118400,3.38,,12.024668,1,,0.0214,14376879,,,
A,,6.87,,0.19148001,25.166,0.15456402,,4.74,,302000992,-,,,17.832,4907874,0.0163,,1635638400,0.90479,1210000000,3.94,0.21,0.18703341,8.066117,0.00246,1698710400,,1635638400,2.71,2021-12-15,301140095,0.997465,43410751488,2,,2014-11-03,1398:1000,,2022-01-03,,0.991,,1642118400,2.44,,30.34494,1,,0.0163,4032168,,,
AIG,,1.36,,0.118039995,5.203,0.5175867,,5.37,,830297984,-,,,77.026,8086572,0.0097,,1609372800,0.93254995,5560000000,6.377,0.32,0.18703341,0.77389455,0.00101,1672444800,,1632960000,1.68,2021-12-15,829126888,1.387734,64387686400,2,,2009-07-01,1:20,,2021-12-15,,4.788,,1642118400,0.39,,11.100559,1,,0.0097,8042349,,,
APD,,6.341,,0.20334,17.809,0.029031038,,11.73,,221684000,-,,,61.156,2283442,0.010299999,,1632960000,0.84272003,2028800000,9.436,1.5,0.18703341,4.6519556,0.0031299999,1696032000,,1632960000,2.7,2021-12-15,220587828,0.811961,65461800960,2,,2016-10-03,1081:1000,,2021-12-31,,0.254,,1642118400,2.12,,24.253624,1,,0.010299999,1983822,,,
AKAM,,5.743,,0.17767,17.232,0.031630874,,5.93,,162480000,-,,,28.213,12815723,0.0789,,1609372800,0.9379,604478016,3.641,,0.18703341,4.095984,0.01566,1672444800,,1632960000,10.95,2021-12-15,159889986,0.542321,19540199424,2,,-,,,-,,0.128,,1642118400,1.69,,19.487352,1,,0.090100005,11831762,,,
ALK,,1.273,,0.0774,74.877,0.043205142,,6.54,,125906000,-,,,30.189,2433477,0.0194,,1640908800,0.76629996,478000000,3.77,0.375,0.18703341,1.799331,0.00387,1703980800,,1640908800,1.34,2021-12-15,125447567,1.633046,7862087168,2,,2014-07-10,2:1,,2020-02-14,,,,1642118400,-0.75,,8.30581,1,,0.0217,2974275,,,
ALB,,8.337,,0.06403,34.121,0.39115393,,6.05,,116976000,-,,,48.678,2066225,0.0177,,1609372800,0.83313006,212131008,1.866,0.39,0.18703341,4.581741,0.00414,1672444800,,1632960000,2.03,2021-12-15,116564561,1.53928,27619932160,2,,2007-03-02,2:1,,2021-12-16,,,,1642118400,1.87,,36.86446,1,,0.0198,2047932,,,
ARE,,19.898,,0.2702,32.754,0.1562556,,3.43,,159868000,-,,,102.437,6275053,0.039300002,,1640908800,0.89989996,563398976,3.82,1.15,0.18703341,1.9255738,0.0094,1703980800,,1640908800,6.19,2021-12-15,156270628,,42067496960,2,,-,,,2021-12-30,,-0.83,,1642118400,623.9,,57.507286,1,,0.045500003,4249131,,,
ALGN,,10.087,,0.19703,35.323,-0.06887841,,13.44,,78853104,-,,,44.6,1544645,0.0196,,1609372800,0.87294996,740046976,9.278,,0.18703341,11.2840805,0.06697,1672444800,,1632960000,2.18,2021-12-15,73878229,1.571718,37887815680,2,,-,,,-,,0.298,,1642118400,1.06,,37.445686,1,,0.0197,1097358,,,
ALLE,,4.084,,0.16063,17.414,0.0769093,,5.72,,89695904,-,,,9.635,1278429,0.0143,,1609372800,0.90370005,463500000,5.086,0.36,0.18703341,12.4327965,0.00847,1672444800,,1632960000,2.39,2021-12-15,89340666,1.143943,11785603072,2,,-,,,2021-12-17,,-0.023,,1642118400,3.03,,20.942308,1,,0.0161,1258920,,,
LNT,,6.338,,0.17841999,16.044,0.19446146,,2.74,,250360992,-,,,23.905,2850825,0.0114,,1609372800,0.77065,635000000,2.534,0.428,0.18703341,2.495712,0.0010899999,1672444800,,1632960000,3.12,2021-12-15,249990253,0.408514,22557597696,2,,2016-05-20,2:1,,2022-01-28,,0.041,,1642118400,3.67,,21.773722,1,,0.012999999,2909727,,,
ALL,,0.727,,0.06624,3.862,0.08917427,,10.64,,286676000,-,,,85.969,4279131,0.0149,,1609372800,0.78113997,6358000128,10.83,0.81,0.18703341,1.3761936,0.00494,1672444800,,1632960000,2.23,2021-12-15,285090722,0.853522,37404196864,2,,1998-07-02,2:1,,2021-11-29,,-0.533,,1642118400,-2.24,,11.11936,1,,0.015,3574492,,,
GOOGL,,7.163,,0.29521,20.111,0.33707643,,129.9,,300809984,-,,,367.946,2095620,0.0032,,1609372800,0.7985,70617997312,103.805,,0.18703341,8.119751,0.0015,1672444800,,1632960000,1.39,2021-12-15,578437133,1.058286,1713368596480,2,,2014-04-03,1998:1000,,-,,0.684,,1642118400,0.89,,22.999462,1,,0.0069999998,2061501,663763968,,
GOOG,,7.176,,0.29521,20.147,0.33211434,,129.44,,317737984,-,,,367.946,1413374,0.0021,,1609372800,0.66318,70617997312,103.805,,0.18703341,8.1256485,0.00034000003,1672444800,,1632960000,1.18,2021-12-15,578437133,1.058286,1716481687552,2,,2015-04-27,10027455:10000000,,-,,0.684,,1642118400,0.89,,23.09796,1,,,1667888,663763968,,
MO,,4.47,,0.09514,9.677,0.20571434,,5.16,,1823180032,-,,,-0.877,12680417,0.0069,,1640908800,0.60108,2475000064,1.34,0.9,0.18703341,,0.001,1703980800,,1640908800,1.25,2021-12-15,1830259600,,116272480256,2,,1997-04-11,3:1,,2021-12-22,,-0.156,,1642118400,1.95,,9.852714,1,,0.0069,11017436,,,
AMZN,,3.438,,0.057350002,26.064,-0.08714187,,50.22,,507148000,-,,,237.799,3494045,0.0069,,1609372800,0.59376,26262999040,51.099,,0.18703341,12.668767,0.12854,1672444800,,1632960000,1.22,2021-12-15,441441574,1.095793,1574366871552,2,,1999-09-02,2:1,,-,,-0.502,,1642118400,2.13,,59.988453,1,,0.008,3599503,,,
AMCR,,1.905,,0.07153,12.212,0.108083606,,0.84,,1533170048,-,,,3.041,44283819,0.028900001,,1625011200,0.41345,941000000,0.607,0.12,0.18703341,4.0066757,0.0024899999,1688083200,,1632960000,7.81,2021-12-15,1523862682,0.429962,25119860736,2,,-,,,2021-11-23,,0.02,,1642118400,2.43,,14.50512,1,,0.029000001,44453288,,,
AMD,,9.3,,0.26724002,40.35,0.32870638,,4.09,,1207609984,-,,,5.888,63839188,0.0529,,1608940800,0.70537,3968999936,3.242,,0.18703341,20.990149,0.00424,1672012800,,1632528000,1.05,2021-12-15,1200533858,1.873796,138118742016,2,,2000-08-22,2:1,,-,,1.367,,1642118400,0.9,,30.217602,1,,0.0531,69630670,,,
AEE,,6.1,,0.16588,13.807,0.20415175,,4.04,,257606000,-,,,37.597,2441838,0.0095,,1609372800,0.76276,980000000,3.837,0.55,0.18703341,2.3507195,0.00418,1672444800,,1632960000,1.9,2021-12-15,256104347,0.351748,36035973120,2,,-,,,2021-12-07,,0.158,,1642118400,2.93,,21.876238,1,,0.0124,3037388,,,
AAL,,1.493,,-0.066700004,-14.037,-0.043749988,,2.09,,647728000,-,,,-11.332,85910105,0.13260001,,1640908800,0.56856,-1992999936,-3.095,0.1,0.18703341,,0.00981,1703980800,,1640908800,2.52,2021-12-15,641561228,1.661429,44622254080,2,,-,,,2020-02-04,,,,1642118400,0.08,,8.11244,1,,0.1488,102466793,,,
AEP,,5.024,,0.14593,13.473,0.08698332,,4.97,,496390016,-,,,44.24,6286949,0.0127,,1609372800,0.74037004,2384699904,4.762,0.78,0.18703341,2.028707,0.00024000001,1672444800,,1632960000,2.36,2021-12-15,503158098,0.363912,82099011584,2,,1962-10-31,2:1,,2021-11-09,,0.063,,1642118400,3.31,,18.058352,1,,0.0127,5547433,,,
AXP,,3.623,,0.18402,,0.5239123,,11.37,,761000000,-,,,28.909,9316644,0.012200001,,1640908800,0.86992997,7917000192,10.02,0.43,0.18703341,6.347504,0.00107,1703980800,,1640908800,2.55,2021-12-15,608335790,1.243284,158673944576,2,,2005-10-03,10000:8753,,2022-01-06,,0.195,,1642118400,0.55,,16.138962,1,,0.0153,9955687,,,
AMT,,17.454,,0.27445,27.609,0.07679391,,5.37,,455414016,-,,,11.882,3842399,0.0084,,1609372800,0.92487,2479399936,5.507,1.39,0.18703341,21.304495,0.0030500002,1672444800,,1632960000,2.05,2021-12-15,453847074,0.367967,157679452160,2,,-,,,2021-12-23,,0.557,,1642118400,2.69,,47.139668,1,,0.0097,4302855,444329984,,
AWK,,10.323,,0.19554001,20.774,-0.032904744,,4.47,,181538000,-,,,37.822,1638075,0.009,,1609372800,0.8704,763000000,4.198,0.603,0.18703341,4.2271695,0.00219,1672444800,,1632960000,1.99,2021-12-15,181114765,0.307146,40281268224,2,,-,,,2021-11-09,,0.053,,1642118400,4.55,,35.76734,1,,0.010199999,1651608,,,
AMP,,2.327,,0.17374,8.277,0.5263053,,29.58,,110900000,-,,,50.775,918336,0.0082,,1609372800,0.84906995,2236000000,18.396,1.13,0.18703341,6.1205316,0.0023100001,1672444800,,1640908800,1.64,2021-12-15,111466873,1.606183,29954189312,2,,-,,,2021-11-05,,2.96,,1642118400,0.46,,10.506084,1,,0.0094,1253499,,,
ABC,,0.159,,0.0072000003,10.681,0.30446315,,11.49,,209075008,-,,,1.073,1870810,0.009,,1632960000,0.64637,1539932032,7.39,0.46,0.18703341,126.24884,0.28395998,1696032000,,1632960000,2.07,2021-12-15,148954802,0.507349,33967110144,2,,2009-06-16,2:1,,2021-11-12,,,,1642118400,1.26,,11.789817,1,,0.0124,1959598,,,
AME,,6.507,,0.17731,22.706,0.17643523,,5.34,,231324992,-,,,28.351,1713214,0.0074,,1609372800,0.89373,929396992,3.99,0.2,0.18703341,4.881662,0.00442,1672444800,,1632960000,2.06,2021-12-15,230200926,1.309173,34108751872,2,,2012-07-02,3:2,,2021-12-07,,0.258,,1642118400,-23.9,,25.9176,1,,0.0083,1854106,,,
AMGN,,5.956,,0.21767999,12.501,-0.035431087,,17.83,,563265984,-,,,14.543,11765849,0.0209,,1609372800,0.77203006,5608999936,9.701,1.76,0.18703341,15.676958,0.00214,1672444800,,1632960000,4.36,2021-12-15,562184431,0.639128,153465651200,2,,1999-11-22,2:1,,2021-11-15,,-0.068,,1642118400,2.43,,12.786877,1,,0.0209,11402494,,,
APH,,4.711,,0.14626001,19.929,0.25110686,,3.02,,598028032,-,,,10.537,5054396,0.0085,,1640908800,0.98441005,1569400064,2.544,0.2,0.18703341,7.5605016,0.00561,1703980800,,1640908800,2.77,2021-12-15,594451590,1.247845,51238379520,2,,2021-03-05,2:1,,2021-12-20,,0.303,,1642118400,2.76,,26.379139,1,,0.0095999995,5149428,,,
ADI,,12.473,,0.18999,32.05,0.12054479,,8.5,,525331008,-,,,72.321,6582666,0.0125,,1635552000,0.90182996,1390422016,3.46,0.69,0.18703341,2.3211792,0.00364,1698624000,,1635552000,1.91,2021-12-15,523119030,1.10593,91278737408,2,,2000-03-16,2:1,,2021-12-02,,-0.804,,1642118400,1.48,,19.74941,1,,0.0126,7837481,,,
ANSS,,15.717,,0.24915001,45.703,-0.08836168,,7.93,,87253000,-,,,49.755,592998,0.0068,,1609372800,0.95186996,467088000,5.318,,0.18703341,6.767762,0.00328,1672444800,,1632960000,1.55,2021-12-15,87031328,1.233654,29465518080,2,,2007-06-05,2:1,,-,,0.128,,1642118400,3.83,,42.462803,1,,0.0076,798140,,,
ANTM,,0.709,,0.04403,9.788,0.47104168,,32.28,,242715008,-,,,146.884,1868059,0.0077,,1640908800,0.9259,6104000000,24.73,1.13,0.18703341,3.023202,0.00202,1703980800,,1640908800,2.04,2021-12-15,245085105,1.066396,98334048256,2,,2005-06-01,2:1,,2021-12-02,,1.064,,1642118400,1.2,,13.756506,1,,0.0077,2065102,,,
AON,,5.78,,0.075840004,30.116,0.34851658,,13.07,,220332000,-,,,9.977,3523892,0.016,,1609372800,0.95106006,915000000,4.013,0.51,0.18703341,27.871103,0.009980001,1672444800,,1632960000,2.93,2021-12-15,213482271,0.886974,69808209920,2,,1999-05-18,3:2,,2022-01-31,,,,1642118400,1.67,,21.27544,1,,0.0162,4996077,,,
